,artist,date,id,image,painting
3581,"Workshop of Pesellino, Francesco",1441,3590,http://nrs.harvard.edu/urn-3:VIT.BB:4863508,Allegory of Music
3582,"Tegliacci, Niccolo di ser Sozzo",1345,3591,http://nrs.harvard.edu/urn-3:VIT.BB:9297301,Madonna and Child with two angels
3583,"After Sarto, Andrea del",1551,3592,http://nrs.harvard.edu/urn-3:VIT.BB:4900944,Bust of the Infant St. John the Baptist
3584,Giannicola di Paolo,1491,3593,http://nrs.harvard.edu/urn-3:VIT.BB:8087237,Lamentation over the dead Christ
3585,Formerly attributed to Anonymous painter of Florence,1370,3594,http://nrs.harvard.edu/urn-3:VIT.BB:4627475,Madonna and Child
3586,"Anonymous painter of North Italy, 16th century",1501,3595,http://nrs.harvard.edu/urn-3:VIT.BB:10536418,Seated cardinal holding a book
3587,"Circle of Mainardi, Bastiano",1491,3596,http://nrs.harvard.edu/urn-3:VIT.BB:4875671,Adoring Virgin
3588,"Near Bordone, Paris",1518,3597,http://nrs.harvard.edu/urn-3:VIT.BB:10591438,Two young women at a mirror held by an older woman
3589,"Brusasorci, Felice",1576,3598,http://nrs.harvard.edu/urn-3:VIT.BB:10532234,Miracle of the loaves and the fish
3590,Ugolino da Siena,1317,3599,http://nrs.harvard.edu/urn-3:VIT.BB:9295394,Bearded saints
3591,Andrea di Luigi,1491,3600,http://nrs.harvard.edu/urn-3:VIT.BB:8087742,Madonna and Child with the Infant St. John the Baptist
3592,"Bezzi, Giovanni Francesco",1560,3601,http://nrs.harvard.edu/urn-3:VIT.BB:10579731,Circumcision
3593,Formerly attributed to Bartolomeo Veneto,1502,3602,http://nrs.harvard.edu/urn-3:VIT.BB:8720188,Prince Cem
3594,Sodoma,1497,3603,http://nrs.harvard.edu/urn-3:VIT.BB:9435838,Holy Family with the Infant St. John and two angels
3595,"Near Tamagni, Vincenzo",1501,3604,http://nrs.harvard.edu/urn-3:VIT.BB:8074476,Three-quarter portrait of a lady
3596,Near Sebastiano del Piombo,1500,3605,http://nrs.harvard.edu/urn-3:VIT.BB:8738277,Madonna and Child with saints
3597,"? Anonymous painter of Florence, 15th century",1401,3606,http://nrs.harvard.edu/urn-3:VIT.BB:4904710,Madonna and Child with the Trinity and two angels; Adoration of the Magi
3598,"Bergognone, Ambrogio",1480,3607,http://nrs.harvard.edu/urn-3:VIT.BB:10519660,St. Anthony Abbot in landscape
3599,"Near Capriolo, Domenico",1515,3608,http://nrs.harvard.edu/urn-3:VIT.BB:8735913,Bust of Cardinal Domenico Grimani
3600,"After Granacci, Francesco",1501,3609,http://nrs.harvard.edu/urn-3:VIT.BB:4894442,Rest on the flight into Egypt with the Infant St. John
3601,"Near Vivarini, Bartolomeo",1451,3610,http://nrs.harvard.edu/urn-3:VIT.BB:8708171,Evangelist
3602,"Near Romano, Giulio",1920,3611,http://nrs.harvard.edu/urn-3:VIT.BB:8094775,Horsemen
3603,"Bordone, Paris",1518,3612,http://nrs.harvard.edu/urn-3:VIT.BB:10591573,Madonna and Child
3604,"Bellini, Giovanni",1451,3613,http://nrs.harvard.edu/urn-3:VIT.BB:8706142,Portrait of a young woman
3605,Domenico di Michelino,1460,3614,http://nrs.harvard.edu/urn-3:VIT.BB:4838984,Madonna and Child
3606,"Manner of Lotto, Lorenzo",1500,3615,http://nrs.harvard.edu/urn-3:VIT.BB:8746998,"Madonna and Child with St. Jerome, St. Peter, St. Clare and St. Francis"
3607,Circle of Antoniazzo Romano,1451,3616,http://nrs.harvard.edu/urn-3:VIT.BB:8074156,Madonna and Child with the Infant St. John the Baptist
3608,Near Domenico di Bartolo,1420,3617,http://nrs.harvard.edu/urn-3:VIT.BB:9431373,Madonna and Child
3609,"Bassano, Leandro",1575,3618,http://nrs.harvard.edu/urn-3:VIT.BB:10590515,Man holding a baton
3610,"Francia, Giacomo",1515,3619,http://nrs.harvard.edu/urn-3:VIT.BB:10583204,Mystic marriage of St. Catherine
3611,"Near Tintoretto, Jacopo",1537,3620,http://nrs.harvard.edu/urn-3:VIT.BB:10592659,Man in fur-trimmed coat standing against window
3612,Anonymous painter of Florence,1451,3621,http://nrs.harvard.edu/urn-3:VIT.BB:4893500,St. Francis and the Archangel Raphael with Tobias
3613,"Anonymous painter of Verona, 15th century",1401,3622,http://nrs.harvard.edu/urn-3:VIT.BB:10533877,Crucifixion with nine saints
3614,"Attributed to Bartolommeo, Fra",1501,3623,http://nrs.harvard.edu/urn-3:VIT.BB:4895359,Head of elderly man bending downwards
3615,School of Parmigianino,1503,3624,http://nrs.harvard.edu/urn-3:VIT.BB:10579988,Allegorical scene
3616,Michele di Matteo da Bologna,1410,3625,http://nrs.harvard.edu/urn-3:VIT.BB:10542167,Saint with a scroll
3617,School of Perugino,1501,3626,http://nrs.harvard.edu/urn-3:VIT.BB:8084174,St. Catherine of Alexandria
3618,Parmigianino,1503,3627,http://nrs.harvard.edu/urn-3:VIT.BB:10580026,Cain and Abel
3619,"Campi, Giulio",1541,3628,http://nrs.harvard.edu/urn-3:VIT.BB:10526388,Funeral of a female saint
3620,"Near Brusasorci, Felice",1576,3629,http://nrs.harvard.edu/urn-3:VIT.BB:10532228,Rest on the flight into Egypt
3621,Circle of Pordenone,1500,3630,http://nrs.harvard.edu/urn-3:VIT.BB:8748005,Bust of an old man
3622,"Bassano, Jacopo, il vecchio",1534,3631,http://nrs.harvard.edu/urn-3:VIT.BB:10590307,Abraham's journey
3623,"Anonymous painter of Florence, 16th century",1501,3632,http://nrs.harvard.edu/urn-3:VIT.BB:4904189,Madonna and Child with five angels
3624,"Attributed to Viti, Timoteo",1501,3633,http://nrs.harvard.edu/urn-3:VIT.BB:8083946,St. Lucy between St. John the Baptist and St. Catherine of Alexandria
3625,"Anonymous painter of Siena, 16th century",1501,3634,http://nrs.harvard.edu/urn-3:VIT.BB:9450475,Study for a clerical scene
3626,Near Innocenzo da Imola,1508,3635,http://nrs.harvard.edu/urn-3:VIT.BB:10580250,Madonna and Child with St. Anne
3627,Spinello Aretino,1383,3636,http://nrs.harvard.edu/urn-3:VIT.BB:4828286,St. Ambrose and St. Augustine
3628,"Pitati, Bonifazio",1515,3637,http://nrs.harvard.edu/urn-3:VIT.BB:10590015,Woman with a pearl necklace
3629,"Mainardi, Bastiano",1491,3638,http://nrs.harvard.edu/urn-3:VIT.BB:4875718,Madonna and Child
3630,Attributed to Justus van Ghent,1451,3639,http://nrs.harvard.edu/urn-3:VIT.BB:8075720,Adoration of the Magi
3631,"Palmezzano, Marco",1491,3640,http://nrs.harvard.edu/urn-3:VIT.BB:8074544,Holy Family with the Infant St. John
3632,Benvenuto di Giovanni,1456,3641,http://nrs.harvard.edu/urn-3:VIT.BB:9434884,Ecce Agnus Dei
3633,"After Romano, Giulio",1920,3642,http://nrs.harvard.edu/urn-3:VIT.BB:8094777,Allegorical figure [Winter?]
3634,"After Romano, Giulio",1920,3643,http://nrs.harvard.edu/urn-3:VIT.BB:8094819,Vase of the goats
3635,"Manner of Bronzino, Agnolo",1920,3644,http://nrs.harvard.edu/urn-3:VIT.BB:4901426,Lady with a book
3636,"Melone, Altobello",1510,3645,http://nrs.harvard.edu/urn-3:VIT.BB:10526148,Nativity
3637,"Anonymous painter of Bologna, 14th century",1301,3646,http://nrs.harvard.edu/urn-3:VIT.BB:10579767,Episodes from life of St. Onophrius
3638,"School of Botticelli, Sandro",1491,3647,http://nrs.harvard.edu/urn-3:VIT.BB:10728524,Adoration of the Child with St. Joseph and the Infant St. John the Baptist
3639,"School of Mantegna, Andrea",1451,3648,http://nrs.harvard.edu/urn-3:VIT.BB:10533789,Triumph of Caesar
3640,"Anonymous painter of Siena, 15th century",1401,3649,http://nrs.harvard.edu/urn-3:VIT.BB:9450612,St. Nicholas of Tolentino
3641,"Bello, Marco",1500,3650,http://nrs.harvard.edu/urn-3:VIT.BB:8735700,Madonna and Child
3642,"Attributed to Puligo, Domenico",1501,3651,http://nrs.harvard.edu/urn-3:VIT.BB:4901037,Madonna and Child
3643,Near Michele da Verona,1491,3652,http://nrs.harvard.edu/urn-3:VIT.BB:10532180,Way to Calvary
3644,"After Credi, Lorenzo di",1490,3653,http://nrs.harvard.edu/urn-3:VIT.BB:4870749,Madonna and Child with the Infant St. John and two angels
3645,"Near Moroni, Giovanni Battista",1551,3654,http://nrs.harvard.edu/urn-3:VIT.BB:10525978,Seated man holding gloves
3646,"Near Moroni, Giovanni Battista",1556,3655,http://nrs.harvard.edu/urn-3:VIT.BB:10525923,Beared man wearing a cap and holding a book
3647,Near Duccio,1291,3656,http://nrs.harvard.edu/urn-3:VIT.BB:9295378,Madonna and Child
3648,Follower of Sebastiano del Piombo,1500,3657,http://nrs.harvard.edu/urn-3:VIT.BB:8738301,Christ carrying the cross with the good thief mocked by a soldier
3649,"Attributed to Pinturicchio, Bernardino",1491,3658,http://nrs.harvard.edu/urn-3:VIT.BB:8074500,Madonna and Child enthroned surrounded by saints and scenes from the lives of Christ and the Virgin
3650,Bernardino da Parenzo,1450,3659,http://nrs.harvard.edu/urn-3:VIT.BB:10536148,St. Bernardino resuscitating the Dead
3651,Copy after Titian,1515,3660,http://nrs.harvard.edu/urn-3:VIT.BB:10582219,Young lady at her toilet
3652,School of Raphael,1501,3661,http://nrs.harvard.edu/urn-3:VIT.BB:8088802,Young man arranging his hair
3653,"Circle of Bellini, Giovanni",1500,3662,http://nrs.harvard.edu/urn-3:VIT.BB:8717763,Circumcision
3654,"Circle of Botticini, Francesco",1451,3663,http://nrs.harvard.edu/urn-3:VIT.BB:4876671,Madonna and Child with a pomegranate
3655,"Imitator of Botticelli, Sandro",1920,3664,http://nrs.harvard.edu/urn-3:VIT.BB:4890250,"Venus, Bacchus and Cupid in a garden"
3656,"? Angelico, Fra",1920,3665,http://nrs.harvard.edu/urn-3:VIT.BB:4838883,Christ driving the money changers from the temple
3657,"Circle of Bellini, Gentile",1451,3666,http://nrs.harvard.edu/urn-3:VIT.BB:8706000,Portrait of a man in profile
3658,"Copy after Veronese, Paolo",1548,3667,http://nrs.harvard.edu/urn-3:VIT.BB:10610958,Finding of Moses
3659,"Malatesta, Leonardo di Francesco di Lazzaro",1501,3668,http://nrs.harvard.edu/urn-3:VIT.BB:4895473,Holy Family
3660,"Follower of Salviati, Francesco",1551,3669,http://nrs.harvard.edu/urn-3:VIT.BB:4903147,Vase with classical figures
3661,"Copy after Sarto, Andrea del",1551,3670,http://nrs.harvard.edu/urn-3:VIT.BB:4901077,Payment of the laborers
3662,"Fiammingo, Paolo",1561,3671,http://nrs.harvard.edu/urn-3:VIT.BB:10593106,Construction scene in a wooded landscape
3663,"Attributed to Pitati, Bonifazio",1515,3672,http://nrs.harvard.edu/urn-3:VIT.BB:10590011,Adoration of the shepherds
3664,? Raphael,1501,3673,http://nrs.harvard.edu/urn-3:VIT.BB:8088678,Pope Leo X
3665,Copy after Luca di Tommé,1401,3674,http://nrs.harvard.edu/urn-3:VIT.BB:9297343,"Christ on the Cross with the Virgin, St. John the Evangelist and soldiers"
3666,"Anonymous painter of Ferrara, 16th century",1501,3675,http://nrs.harvard.edu/urn-3:VIT.BB:10579870,Holy Family with the infant St. John
3667,After Titian,1510,3676,http://nrs.harvard.edu/urn-3:VIT.BB:10581574,Madonna and Child with the Infant St. John
3668,Niccolò di Pietro Gerini,1368,3677,http://nrs.harvard.edu/urn-3:VIT.BB:4828017,"Coronation of the Virgin with St. Peter, St. Thomas Aquinas, St. Ambrose and St. Paul"
3669,Master of Marradi,1491,3678,http://nrs.harvard.edu/urn-3:VIT.BB:10728518,St. Maurus
3670,"Near Paolino, Fra",1501,3679,http://nrs.harvard.edu/urn-3:VIT.BB:4895371,Holy Family with St. Anne
3671,"Ferrari, Defendente",1500,3680,http://nrs.harvard.edu/urn-3:VIT.BB:10511433,Naming of St. John the Baptist
3672,"Near Libri, Francesco dai",1491,3681,http://nrs.harvard.edu/urn-3:VIT.BB:10531161,Christ in the tomb with the symbols of the Passion; St. John the Baptist; Madonna and Child
3673,Near Titian,1510,3682,http://nrs.harvard.edu/urn-3:VIT.BB:10611142,Venus and Cupid
3674,"? Veronese, Paolo",1548,3683,http://nrs.harvard.edu/urn-3:VIT.BB:10591206,Allegory of autumn
3675,"? Anonymous painter of Siena, 15th century",1401,3684,http://nrs.harvard.edu/urn-3:VIT.BB:9450403,Annunciation
3676,"Bassano, Francesco, II",1565,3685,http://nrs.harvard.edu/urn-3:VIT.BB:10590561,Biblical scene [?]
3677,"Anonymous painter of Florence, 16th century",1501,3686,http://nrs.harvard.edu/urn-3:VIT.BB:10728574,Christ on the Cross between the Virgin and St. John the Evangelist
3678,"Anonymous painter of Bologna, 14th century",1301,3687,http://nrs.harvard.edu/urn-3:VIT.BB:10579779,Madonna and Child with angels
3679,"Dossi, Battista",1517,3688,http://nrs.harvard.edu/urn-3:VIT.BB:10582942,St. Paula
3680,School of Raphael,1501,3689,http://nrs.harvard.edu/urn-3:VIT.BB:8088545,Holy Family with St. Romuald and a bishop saint (Nicholas?)
3681,Attributed to Jacopo da Empoli,1591,3690,http://nrs.harvard.edu/urn-3:VIT.BB:4904944,Portrait of man with dog
3682,"School of Carpaccio, Vittore",1475,3691,http://nrs.harvard.edu/urn-3:VIT.BB:8719133,Adoration of the Magi
3683,"Moroni, Giovanni Battista",1551,3692,http://nrs.harvard.edu/urn-3:VIT.BB:10525992,Count Girolamo Vertova
3684,Pseudo Pier Francesco Fiorentino,1451,3693,http://nrs.harvard.edu/urn-3:VIT.BB:4863753,Madonna and Child
3685,Near Andrea di Bartolo,1391,3694,http://nrs.harvard.edu/urn-3:VIT.BB:9429204,Annunciation with a donor; two prophets
3686,"Near Botticelli, Sandro",1920,3695,http://nrs.harvard.edu/urn-3:VIT.BB:4890318,Madonna and Child with the Young St. John the Baptist and an angel
3687,Vecchietta,1422,3696,http://nrs.harvard.edu/urn-3:VIT.BB:9431337,St. Bernardino
3688,"Near Cossa, Francesco del",1456,3697,http://nrs.harvard.edu/urn-3:VIT.BB:10542229,Madonna and Child with a goldfinch
3689,Girolamo da Treviso the Elder,1470,3698,http://nrs.harvard.edu/urn-3:VIT.BB:8718863,Madonna adoring Child
3690,Circle of Antonello da Messina,1451,3699,http://nrs.harvard.edu/urn-3:VIT.BB:8717969,Salvator Mundi
3691,"Piazza, Callisto",1530,3700,http://nrs.harvard.edu/urn-3:VIT.BB:10526512,Gentleman in fur coat
3692,"Costa, Lorenzo di Ottavio",1483,3701,http://nrs.harvard.edu/urn-3:VIT.BB:10541818,"Madonna and Child enthroned with St. Jerome, St. Francis, St. Bernard, and St. George"
3693,"? Aquili, Marcantonio",1501,3702,http://nrs.harvard.edu/urn-3:VIT.BB:8074234,St. Bernard of Clairvaux
3694,"Anonymous painter of Tuscany, 13th century",1201,3703,http://nrs.harvard.edu/urn-3:VIT.BB:4903969,Male figure (fragment)
3695,"Attributed to Santacroce, Francesco di Simone da",1460,3704,http://nrs.harvard.edu/urn-3:VIT.BB:8735559,Adoration of the Magi
3696,Copy after Giorgione,1920,3705,http://nrs.harvard.edu/urn-3:VIT.BB:8738055,Bust of Archeologist measuring marble torso
3697,Sodoma,1497,3706,http://nrs.harvard.edu/urn-3:VIT.BB:9435938,Way to Calvary (fragment)
3698,"Solario, Antonio",1502,3707,http://nrs.harvard.edu/urn-3:VIT.BB:8720208,Bust of a lady
3699,"Near Napoletano, Francesco",1476,3708,http://nrs.harvard.edu/urn-3:VIT.BB:10523428,Madonna and Child with a bird
3700,School of Perugino,1491,3709,http://nrs.harvard.edu/urn-3:VIT.BB:8084158,St. Jerome in his study
3701,"Nelli, Ottaviano",1401,3710,http://nrs.harvard.edu/urn-3:VIT.BB:8075477,Nativity and Annunciation to the shepherds
3702,"Luini, Bernardino",1480,3711,http://nrs.harvard.edu/urn-3:VIT.BB:10522097,Bust of a young lady with braids
3703,Bartolomeo Veneto,1502,3712,http://nrs.harvard.edu/urn-3:VIT.BB:8720186,Spanish nobleman
3704,Anonymous painter of Central Italy,1551,3713,http://nrs.harvard.edu/urn-3:VIT.BB:8095397,Religious narrative scene
3705,"After Botticelli, Sandro",1491,3714,http://nrs.harvard.edu/urn-3:VIT.BB:4890646,Madonna and Child with five angels
3706,"Near Bertucci, the elder, Giovanni Battista",1501,3715,http://nrs.harvard.edu/urn-3:VIT.BB:10728354,Madonna and Child with the Infant St. John and a female saint
3707,Manner of Raphael,1920,3716,http://nrs.harvard.edu/urn-3:VIT.BB:8087453,Madonna and Child
3708,Ambrogio di Baldese,1390,3717,http://nrs.harvard.edu/urn-3:VIT.BB:4827928,St. Giles; St. Romuald
3709,"Near Bassano, Jacopo, il vecchio",1534,3718,http://nrs.harvard.edu/urn-3:VIT.BB:10590337,Old man with young child and dog
3710,"Credi, Lorenzo di",1490,3719,http://nrs.harvard.edu/urn-3:VIT.BB:4870725,Madonna and Child
3711,"Lotto, Lorenzo",1500,3720,http://nrs.harvard.edu/urn-3:VIT.BB:8747221,Young prelate
3712,"Vasari, Giorgio",1541,3721,http://nrs.harvard.edu/urn-3:VIT.BB:4903109,Nativity and Adoration of the shepherds
3713,"Anonymous painter of Ferrara, 16th century",1501,3722,http://nrs.harvard.edu/urn-3:VIT.BB:10579886,Adoration of the Magi
3714,"Anonymous painter of Lombardy, 14th century",1301,3723,http://nrs.harvard.edu/urn-3:VIT.BB:10531289,Priest and a ram near an altar
3715,"Attributed to Franchi, Rossello di Jacopo",1401,3724,http://nrs.harvard.edu/urn-3:VIT.BB:4838717,"Madonna and Child in glory with St. Lucy, St. Anthony and four angels"
3716,"After Romano, Giulio",1920,3725,http://nrs.harvard.edu/urn-3:VIT.BB:8094945,Adoration of the shepherds
3717,"Follower of Lorenzetti, Ambrogio",1301,3726,http://nrs.harvard.edu/urn-3:VIT.BB:9295606,Madonna and Child
3718,Liberale da Verona,1501,3727,http://nrs.harvard.edu/urn-3:VIT.BB:10531109,Madonna and Child
3719,"Anonymous painter of Florence, 14th century",1301,3728,http://nrs.harvard.edu/urn-3:VIT.BB:4904714,Madonna and Child
3720,"Poccetti, Bernardino",1591,3729,http://nrs.harvard.edu/urn-3:VIT.BB:4903392,Moses and the brazen serpent
3721,"Manner of Ceccarelli, Naddo",1920,3730,http://nrs.harvard.edu/urn-3:VIT.BB:9297644,"Christ on the Cross between the Virgin, St. Mary Magdalen, St. John the Evangelist and two angels; Christ Blessing"
3722,"Tintoretto, Jacopo",1537,3731,http://nrs.harvard.edu/urn-3:VIT.BB:10593040,Baptism of Christ
3723,"Bedoli, Girolamo Mazzola",1525,3732,http://nrs.harvard.edu/urn-3:VIT.BB:10580196,Mystic marriage of St. Catherine
3724,Matteo di Giovanetto,1341,3733,http://nrs.harvard.edu/urn-3:VIT.BB:9297562,Madonna and Child Enthroned
3725,"Luini, Bernardino",1480,3734,http://nrs.harvard.edu/urn-3:VIT.BB:10522091,Venus
3726,"Near Boccati, Giovanni di Piermatteo da Camerino",1401,3735,http://nrs.harvard.edu/urn-3:VIT.BB:8075630,Blessing Redeemer
3727,"Campagnola, Domenico",1520,3736,http://nrs.harvard.edu/urn-3:VIT.BB:10611379,"Landscape with woods, a castle and a shepherd with two cows and a donkey"
3728,Near Perugino,1501,3737,http://nrs.harvard.edu/urn-3:VIT.BB:8084006,Madonna and Child
3729,Near Piero della Francesca,1920,3738,http://nrs.harvard.edu/urn-3:VIT.BB:8075698,Christ crowned with thorns
3730,? Neri di Bicci,1451,3739,http://nrs.harvard.edu/urn-3:VIT.BB:4870565,Madonna and Child
3731,Parmigianino,1503,3740,http://nrs.harvard.edu/urn-3:VIT.BB:10579940,Female figure with a child
3732,"Ferrari, Defendente",1500,3741,http://nrs.harvard.edu/urn-3:VIT.BB:10511455,Virgin Annunciate
3733,? Polidoro da Lanciano,1535,3742,http://nrs.harvard.edu/urn-3:VIT.BB:10611403,Supper at Emmaus
3734,School of Leonardo da Vinci,1501,3743,http://nrs.harvard.edu/urn-3:VIT.BB:4875520,St. Mary Magdalen
3735,"Marini da Cattaro, Lorenzo",1456,3744,http://nrs.harvard.edu/urn-3:VIT.BB:8707949,Madonna and Child
3736,Manner of Benvenuto di Giovanni,1456,3745,http://nrs.harvard.edu/urn-3:VIT.BB:9434856,Madonna and Child with saints
3737,"Brusasorci, Domenico",1541,3746,http://nrs.harvard.edu/urn-3:VIT.BB:10532196,Bust of a clergyman
3738,"Aspertini, Amico",1510,3747,http://nrs.harvard.edu/urn-3:VIT.BB:10582774,Madonna and Child with two saints
3739,"Manner of Granacci, Francesco",1501,3748,http://nrs.harvard.edu/urn-3:VIT.BB:4894428,Tobias and the Archangel Raphael
3740,Piero di Cosimo,1491,3749,http://nrs.harvard.edu/urn-3:VIT.BB:4893480,Kneeling Virgin (recto); kneeling angel (verso)
3741,"Near Veronese, Paolo",1548,3750,http://nrs.harvard.edu/urn-3:VIT.BB:10610970,Moses and Aaron turning the waters of the Nile into blood [?]
3742,Giampietrino,1520,3751,http://nrs.harvard.edu/urn-3:VIT.BB:10521951,Madonna and Child
3743,Studio of Franciabigio,1501,3752,http://nrs.harvard.edu/urn-3:VIT.BB:4901267,Madonna and Child with the Infant St. John
3744,"Near Costa, Lorenzo di Ottavio",1483,3753,http://nrs.harvard.edu/urn-3:VIT.BB:10583012,St. Sebastian
3745,Rosso Fiorentino,1501,3754,http://nrs.harvard.edu/urn-3:VIT.BB:4893828,Kneeling male nude seen from behind; male torso
3746,"Bordone, Paris",1518,3755,http://nrs.harvard.edu/urn-3:VIT.BB:10591565,Madonna and Child with St. Anthony and a donor
3747,"Imitator of Crivelli, Carlo",1960,3756,http://nrs.harvard.edu/urn-3:VIT.BB:8708191,Madonna and Child Enthroned
3748,"Anonymous painter of Marche, 16th century",1501,3757,http://nrs.harvard.edu/urn-3:VIT.BB:8095301,Madonna and Child
3749,Parmigianino,1503,3758,http://nrs.harvard.edu/urn-3:VIT.BB:10579962,Madonna and Child
3750,"Schiavone, Andrea",1538,3759,http://nrs.harvard.edu/urn-3:VIT.BB:10590041,Rape of the Sabine women
3751,"Franchi, Rossello di Jacopo",1401,3760,http://nrs.harvard.edu/urn-3:VIT.BB:4838728,Madonna and Child Enthroned
3752,"? Abate, Nicolò dell'",1537,3761,http://nrs.harvard.edu/urn-3:VIT.BB:10541730,Woman wearing a large cloak holding gloves
3753,Near Franciabigio,1501,3762,http://nrs.harvard.edu/urn-3:VIT.BB:4901230,Madonna and Child with the Infant St. John and a music-making angel
3754,"Anselmi, Michelangelo",1512,3763,http://nrs.harvard.edu/urn-3:VIT.BB:10580228,Madonna and Child with St. Catherine and St. Clare
3755,"Solario, Andrea",1490,3764,http://nrs.harvard.edu/urn-3:VIT.BB:10523328,Madonna and Child
3756,"Attributed to Veronese, Paolo",1548,3765,http://nrs.harvard.edu/urn-3:VIT.BB:10591104,Three-quarter portrait of a standing man
3757,Andrea di Luigi,1491,3766,http://nrs.harvard.edu/urn-3:VIT.BB:8087752,Madonna and Child
3758,"Near Melzi, Francesco",1525,3767,http://nrs.harvard.edu/urn-3:VIT.BB:10523070,Three-quarter portrait of a young woman holding a parrot
3759,Romanino,1508,3768,http://nrs.harvard.edu/urn-3:VIT.BB:10523522,Three-quarter portrait of a man wearing a hat
3760,"Solario, Andrea",1490,3769,http://nrs.harvard.edu/urn-3:VIT.BB:10523308,Portrait of the chancellor Domenico Morone
3761,Padovanino,1610,3770,http://nrs.harvard.edu/urn-3:VIT.BB:10593338,Reclining Venus
3762,"Daddi, Bernardo",1300,3771,http://nrs.harvard.edu/urn-3:VIT.BB:4627351,"St. Mary Magdalen, two angels, an Evangelist"
3763,"Maineri, Gian Francesco de",1489,3772,http://nrs.harvard.edu/urn-3:VIT.BB:10541836,Holy family
3764,"Anguissola, Sofonisba",1558,3773,http://nrs.harvard.edu/urn-3:VIT.BB:10728213,Self portrait miniature
3765,"Bellini, Giovanni",1451,3774,http://nrs.harvard.edu/urn-3:VIT.BB:8706042,Madonna and Child
3766,"After Romano, Giulio",1920,3775,http://nrs.harvard.edu/urn-3:VIT.BB:8094850,Allegory of the Church with the Blessing Redeemer and other saints
3767,"Near Uccello, Paolo",1401,3776,http://nrs.harvard.edu/urn-3:VIT.BB:4863217,Two horse's heads
3768,"Vaga, Perino del",1541,3777,http://nrs.harvard.edu/urn-3:VIT.BB:8095161,Madonna and Child Enthroned with saints
3769,Andrea di Bartolo,1391,3778,http://nrs.harvard.edu/urn-3:VIT.BB:9429349,Annunciation
3770,After Titian,1530,3779,http://nrs.harvard.edu/urn-3:VIT.BB:10581844,Bust of a man
3771,? Anonymous painter of Central Italy,1501,3780,http://nrs.harvard.edu/urn-3:VIT.BB:8095390,St. Francis receiving the stigmata
3772,"Fogolino, Marcello",1501,3781,http://nrs.harvard.edu/urn-3:VIT.BB:8720037,Holy Family
3773,"Anonymous painter of Emilia, 16th century",1590,3782,http://nrs.harvard.edu/urn-3:VIT.BB:10580124,Head of a young women
3774,"Anonymous painter of Tuscany, 14th century",1301,3783,http://nrs.harvard.edu/urn-3:VIT.BB:4903935,Annunciation (fragment)
3775,"Anonymous painter of Lombardy, 15th century",1485,3784,http://nrs.harvard.edu/urn-3:VIT.BB:10531314,Christ on the Cross between the two thieves and saints; scenes from the life of Christ
3776,"Martini, Simone",1301,3785,http://nrs.harvard.edu/urn-3:VIT.BB:9295212,Virgin Annunciate
3777,"Bellini, Gentile",1451,3786,http://nrs.harvard.edu/urn-3:VIT.BB:8705926,Madonna and Child with saints
3778,"Lodi, Giovanni Agostino da",1467,3787,http://nrs.harvard.edu/urn-3:VIT.BB:10522015,Holy Family
3779,"Orsi, Lelio",1530,3788,http://nrs.harvard.edu/urn-3:VIT.BB:10579745,Madonna and Child with the Infant St. John and angels
3780,Manner of Girolamo da Carpi,1521,3789,http://nrs.harvard.edu/urn-3:VIT.BB:10580164,Perseus beheading Medusa; Birth of Pegasus
3781,"Near Tintoretto, Jacopo",1537,3790,http://nrs.harvard.edu/urn-3:VIT.BB:10592760,Procurator of San Marco sitting on a chair
3782,"Civerchio, Vincenzo",1495,3791,http://nrs.harvard.edu/urn-3:VIT.BB:10519566,Circumcision
3783,"Circle of Daddi, Bernardo",1326,3792,http://nrs.harvard.edu/urn-3:VIT.BB:4627377,Christ on the Cross
3784,"Palmezzano, Marco",1491,3793,http://nrs.harvard.edu/urn-3:VIT.BB:8074578,Blessing Redeemer with St. Nicholas of Tolentino and St. George
3785,Andrea di Giusto,1401,3794,http://nrs.harvard.edu/urn-3:VIT.BB:4838871,Madonna and Child with four music-making angels
3786,School of Raphael,1501,3795,http://nrs.harvard.edu/urn-3:VIT.BB:8087353,Cardinal and two dignitaries
3787,"Mainardi, Bastiano",1491,3796,http://nrs.harvard.edu/urn-3:VIT.BB:4875642,"Tobias and the Archangels Gabriel, Michael and Raphael"
3788,"Anonymous painter of Venice, 14th century",1301,3797,http://nrs.harvard.edu/urn-3:VIT.BB:10593528,Mocking of Christ
3789,"Workshop of Allori, Alessandro",1576,3798,http://nrs.harvard.edu/urn-3:VIT.BB:4893712,Bianca Cappello sitting at a table
3790,"Attributed to Bugiardini, Giuliano",1501,3799,http://nrs.harvard.edu/urn-3:VIT.BB:4894376,Madonna and Child with the Infant St. John and an angel
3791,Cecco di Pietro,1370,3800,http://nrs.harvard.edu/urn-3:VIT.BB:9429659,St. John the Baptist
3792,Attributed to Romanino,1508,3801,http://nrs.harvard.edu/urn-3:VIT.BB:10523462,Three-quarter portrait of a man wearing a hat
3793,"Aspertini, Amico",1492,3802,http://nrs.harvard.edu/urn-3:VIT.BB:10582788,Three-quarter portrait of a woman
3794,"Studio of Botticelli, Sandro",1491,3803,http://nrs.harvard.edu/urn-3:VIT.BB:4890616,Madonna and Child with the Young St. John the Baptist and an angel
